Instrument ID;Calendar ID;Segment Code;Post Trade Parameters ID;Price Tick Table ID;ISIN Code;Deletion Date;First Trading Date;Instrument Status;Clearing Type;Delete Orders at EOD;Exchange Market Size;Pre-Trade LIS Value (Currency);Minimum Order Size;Last Trading Day;Lot Size;Security Type;TIDM;Description;SEDOL;ADT (EUR);Currency;Bid Status;DOL Indicator;DOL Section Number;Expiry Source;Issuer Code;Issuer Name;Normal Market Size;Ratio;Settlement Type;Standard Market Size;Instrument Name;DOL Symbol;Unit of Quotation;Max Spread Floor;Max Spread Percentage;Country of Register;Covered Warrant Strike Price;Covered Warrant Expiry;Sector;Multicast ID;Covered Warrant Strike Currency;Covered Warrant Type;Covered Warrant Style;Reference Price;Market ID;Visibility;Mifir Identifier;Mifir Subclass;Static Reference Price Collar Percentage;Dynamic Reference Price Collar Percentage ;Liquid;ADT (Currency);ADNT;RPW Allowed;FISN;Max Order Value Lit (Currency);Max Order Value Dark (Currency);Notional Currency ;Price Notation;Denominated Par Value;Max Order Value Lit Auctions (Currency)
SNCu;PT;PT;Normal;10_80;PTSNC0AM0006;;20190708;0;1;1;;30000;;;1;EQ;;SONAECOM SGPS SA;;80614.39;EUR;;;;;;;;;;;;;;;;;;;;6;;;;2.43;XLIS;B;SHRS;;30;10;N;80614.39;22.72835;Y;SONAECOM SGPS/AC .74;20000000;200000000;;MONE;;200000000
SONCu;PT;PT;Normal;80_600;PTSNP0AE0008;;20190708;0;1;1;;60000;;;1;EQ;;SONAE CAPITAL SGPS SA;;290954.8;EUR;;;;;;;;;;;;;;;;;;;;6;;;;0.644;XLIS;B;SHRS;;30;10;N;290954.81;115.11418;Y;SONAE CAP SGPS/AC 1;20000000;200000000;;MONE;;200000000
SONIu;PT;PT;Normal;10_80;PTS3P0AM0025;;20190708;0;1;1;;60000;;;1;EQ;;SONAE INDUSTRIA SGPS SA/NEW;;166282.46;EUR;;;;;;;;;;;;;;;;;;;;6;;;;1.01;XLIS;B;SHRS;;30;10;N;166282.47;70.30709;Y;SONAE IND SGPS/AC NPV;20000000;200000000;;MONE;;200000000
SONu;PT;PT;Normal;600_2000;PTSON0AM0001;;20190708;0;1;1;;300000;;;1;EQ;;SONAE;;8969835.76;EUR;;;;;;;;;;;;;;;;;;;;6;;;;0.797;XLIS;B;SHRS;;25;5;Y;8969835.77;804.10237;Y;SONAE SGPS/AC 1;20000000;200000000;;MONE;;200000000
TDSAu;PT;PT;Normal;10_80;PTTD10AM0000;;20190708;0;1;1;;30000;;;1;EQ;;TEIXEIRA DUARTE SA;;61981.09;EUR;;;;;;;;;;;;;;;;;;;;6;;;;0.106;XLIS;B;SHRS;;30;10;N;61981.1;46.01575;Y;TEIXE DUARTE SA/AC .5;20000000;200000000;;MONE;;200000000
VAFu;PT;PT;Normal;_10;PTVAA0AM0019;;20190708;0;1;1;;15000;;;1;EQ;;VAA VISTA ALEGRE ATLANTIS;;1023.56;EUR;;;;;;;;;;;;;;;;;;;;6;;;;1.4;XLIS;B;SHRS;;30;10;N;1023.56;2.15069;Y;VAA SGPS/AC .08;20000000;200000000;;MONE;;200000000
CVHl;GB;EB;Normal;_10;US12687E1047;;20190708;0;1;1;;17175;;;1;EQ;;CABLEVISION HOLDING S.A.;;20240.6;USD;;;;;;;;;;;;;;;;;;;;1;;;;14;XLON;B;DPRS;;30;10;N;23175.49;.66821;Y;CABLEVISION HLD/S GDR;20000000;200000000;;MONE;;200000000
KAPl;GB;EB;Normal;10_80;US63253R2013;;20190708;0;1;1;;229000;;;1;EQ;;NAC KAZATOMPROM JSC-GDR;;3817252.61;USD;;;;;;;;;;;;;;;;;;;;1;;;;15;XLON;B;DPRS;;30;10;N;4370754.24;63.83334;Y;NATL ATOMIC CO /S GDR REGS;20000000;200000000;;MONE;;200000000
ABFl;GB;GB;Normal;2000_9000;GB0006731235;;20190708;0;1;1;;58144450;;;1;EQ;;ASSOCIATED BRITISH FOODS PLC;;308338271.5;GBX;;;;;;;;;;;;;;;;;;;;1;;;;2333;XLON;B;SHRS;;25;5;Y;27581783400.49000168;4121.40712;Y;ASSD BRIT/PAR VTG FPD 0.05681;2000000000;20000000000;;MONE;;20000000000
ACAl;GB;GB;Normal;600_2000;GB00B61D2N63;;20190708;0;1;1;;17890600;;;1;EQ;;ACACIA MINING PLC;;4770664.11;GBX;;;;;;;;;;;;;;;;;;;;1;;;;251.8;XLON;B;SHRS;;25;5;Y;426750216.81999999;1148.38736;Y;ACAA MINI/PAR VTG FPD 0.1;2000000000;20000000000;;MONE;;20000000000
